Date,sol,ele
2012-04-01,1362802.9712550002,2476
2012-04-02,1523626.6052078723,2512
2012-04-03,1634569.3698707963,2532
2012-04-04,1772992.4959653718,2559
2012-04-05,1740508.4575980357,2530
2012-04-06,1826078.6130989038,2514
2012-04-07,1835712.0932267099,2532
2012-04-08,1887948.1995097334,2471
2012-04-09,1832684.1119831067,2540
2012-04-10,1857303.9130222553,2515
2012-04-11,2045952.744204676,2453
2012-04-12,2190892.6869522478,2453
2012-04-13,2039924.078363371,2430
2012-04-14,1879011.595374754,2422
2012-04-15,1524270.1063784899,2352
2012-04-16,1839300.4772179513,2471
2012-04-17,1867165.902285551,2491
2012-04-18,2098763.1036310527,2502
2012-04-19,2315134.51717117,2501
2012-04-20,2031705.8758550824,2495
2012-04-21,1407892.5965597315,2495
2012-04-22,1758966.9444649725,2444
2012-04-23,1675520.9590586943,2495
2012-04-24,1795057.5192251122,2511
2012-04-25,1722663.2769084196,2477
2012-04-26,1903739.8593863489,2443
2012-04-27,1749110.9681736082,2477
2012-04-28,1746916.7627007135,2517
2012-04-29,2542988.1059369724,2439
2012-04-30,1716957.2330601222,2466
2012-05-01,1445944.3586578502,2437
2012-05-02,1629743.2492323173,2520
2012-05-03,1902296.2516274175,2547
2012-05-04,1975721.6419796625,2566
2012-05-05,2145744.642893684,2545
2012-05-06,2009619.4489235072,2499
2012-05-07,2176308.868822026,2553
2012-05-08,2073026.7445636184,2591
2012-05-09,2155620.163540012,2609
2012-05-10,2043150.3578509165,2579
2012-05-11,2019815.2138089065,2557
2012-05-12,2072923.5605680635,2526
2012-05-13,1537057.9361395075,2423
2012-05-14,1838364.1997762525,2543
2012-05-15,1963629.2284787465,2593
2012-05-16,1710366.556035446,2620
2012-05-17,1581332.5280610092,2623
2012-05-18,1883008.2095010853,2624
2012-05-19,1921616.107944346,2628
2012-05-20,1917584.121465601,2574
2012-05-21,1824672.8758239257,2656
2012-05-22,1753879.837375337,2690
2012-05-23,1843902.5142943207,2680
2012-05-24,1669527.2031224186,2711
2012-05-25,1915764.8044459159,2744
2012-05-26,1775781.0778856294,2705
2012-05-27,1952313.7798665678,2651
2012-05-28,2049159.3243404187,2720
2012-05-29,2161387.8968985234,2731
2012-05-30,2009752.5969679041,2761
2012-05-31,1983984.1306394266,2717
2012-06-01,2158886.975103066,2714
2012-06-02,2106362.4275342985,2706
2012-06-03,2369396.2293162453,2666
2012-06-04,2176064.608858483,2699
2012-06-05,2434886.5789204864,2677
