Date,Total
2012-04-01,2476
2012-04-02,2512
2012-04-03,2532
2012-04-04,2559
2012-04-05,2530
2012-04-06,2514
2012-04-07,2532
2012-04-08,2471
2012-04-09,2540
2012-04-10,2515
2012-04-11,2453
2012-04-12,2453
2012-04-13,2430
2012-04-14,2422
2012-04-15,2352
2012-04-16,2471
2012-04-17,2491
2012-04-18,2502
2012-04-19,2501
2012-04-20,2495
2012-04-21,2495
2012-04-22,2444
2012-04-23,2495
2012-04-24,2511
2012-04-25,2477
2012-04-26,2443
2012-04-27,2477
2012-04-28,2517
2012-04-29,2439
2012-04-30,2466
2012-05-01,2437
2012-05-02,2520
2012-05-03,2547
2012-05-04,2566
2012-05-05,2545
2012-05-06,2499
2012-05-07,2553
2012-05-08,2591
2012-05-09,2609
2012-05-10,2579
2012-05-11,2557
2012-05-12,2526
2012-05-13,2423
2012-05-14,2543
2012-05-15,2593
2012-05-16,2620
2012-05-17,2623
2012-05-18,2624
2012-05-19,2628
2012-05-20,2574
2012-05-21,2656
2012-05-22,2690
2012-05-23,2680
2012-05-24,2711
2012-05-25,2744
2012-05-26,2705
2012-05-27,2651
2012-05-28,2720
2012-05-29,2731
2012-05-30,2761
2012-05-31,2717
2012-06-01,2714
2012-06-02,2706
2012-06-03,2666
2012-06-04,2699
2012-06-05,2677
2012-06-06,2673
2012-06-07,2641
2012-06-08,2609
2012-06-09,2607
2012-06-10,2564
2012-06-11,2592
2012-06-12,2585
2012-06-13,2593
2012-06-14,2582
2012-06-15,2648
2012-06-16,2654
2012-06-17,2559
2012-06-18,2586
2012-06-19,2592
2012-06-20,2649
2012-06-21,2667
2012-06-22,2655
2012-06-23,2674
2012-06-24,2676
2012-06-25,2681
2012-06-26,2701
2012-06-27,2712
2012-06-28,2712
2012-06-29,2710
2012-06-30,2688
2012-07-01,2629
2012-07-02,2616
2012-07-03,2649
2012-07-04,2644
2012-07-05,2658
2012-07-06,2605
2012-07-07,2546
2012-07-08,2509
2012-07-09,2579
2012-07-10,2593
2012-07-11,2578
2012-07-12,2582
2012-07-13,2579
2012-07-14,2554
2012-07-15,2495
2012-07-16,2527
2012-07-17,2577
2012-07-18,2578
2012-07-19,2597
2012-07-20,2569
2012-07-21,2560
2012-07-22,2555
2012-07-23,2603
2012-07-24,2636
2012-07-25,2610
2012-07-26,2600
2012-07-27,2588
2012-07-28,2604
2012-07-29,2567
2012-07-30,2167
2012-07-31,2188
2012-08-01,2385
2012-08-02,2430
2012-08-03,2491
2012-08-04,2490
2012-08-05,2462
2012-08-06,2530
2012-08-07,2545
2012-08-08,2534
2012-08-09,2519
2012-08-10,2492
2012-08-11,2482
2012-08-12,2455
2012-08-13,2477
2012-08-14,2423
2012-08-15,2490
2012-08-16,2527
2012-08-17,2531
2012-08-18,2531
2012-08-19,2501
2012-08-20,2509
2012-08-21,2482
2012-08-22,2427
2012-08-23,2472
2012-08-24,2482
2012-08-25,2476
2012-08-26,2428
2012-08-27,2453
2012-08-28,2430
2012-08-29,2466
2012-08-30,2478
2012-08-31,2502
2012-09-01,2523
2012-09-02,2483
2012-09-03,2497
2012-09-04,2419
2012-09-05,2429
2012-09-06,2418
2012-09-07,2429
2012-09-08,2404
2012-09-09,2359
2012-09-10,2446
2012-09-11,2478
2012-09-12,2517
2012-09-13,2565
2012-09-14,2496
2012-09-15,2439
2012-09-16,2362
2012-09-17,2373
2012-09-18,2403
2012-09-19,2418
2012-09-20,2453
2012-09-21,2477
2012-09-22,2514
2012-09-23,2459
2012-09-24,2539
2012-09-25,2547
2012-09-26,2583
2012-09-27,2579
2012-09-28,2599
2012-09-29,2557
2012-09-30,2557
2012-10-01,2570
2012-10-02,2511
2012-10-03,2563
2012-10-04,2577
2012-10-05,2565
2012-10-06,2504
2012-10-07,2461
2012-10-08,2518
2012-10-09,2537
2012-10-10,2537
2012-10-11,2534
2012-10-12,2562
2012-10-13,2545
