Date,sumOfLights
2012-01-19,1100000.0
2012-01-20,1170000.0
2012-01-21,1030000.0
2012-01-22,931886.4113
2012-01-23,985427.6356000002
2012-01-24,731078.7944
2012-01-25,1160000.0
2012-01-26,1220000.0
2012-01-27,1300000.0
2012-01-28,972683.6233
2012-01-29,915565.1353
2012-01-30,991992.6915
2012-01-31,1430000.0
2012-02-01,1180000.0
2012-02-02,982969.72245
2012-02-03,785939.4449
2012-02-04,1010000.0
2012-02-05,1030000.0
2012-02-06,1030000.0
2012-02-07,856830.0115
2012-02-08,1020000.0
2012-02-09,864941.8368000002
2012-02-10,1070000.0
2012-02-11,7511.094314000001
2012-02-12,983558.9433
2012-02-13,926501.7023
2012-02-14,887175.0970000001
2012-02-15,963231.7214
2012-02-16,1320000.0
2012-02-19,1030069.9367
2012-02-18,1083379.9578
2012-02-17,1190000.0
2012-02-20,976759.9156
2012-02-21,1210000.0
2012-02-22,1070000.0
2012-02-23,1000000.0
2012-02-24,1060000.0
2012-02-25,1130000.0
2012-02-26,1460000.0
2012-02-27,1250000.0
2012-02-28,1160000.0
2012-02-29,1090000.0
2012-03-01,51197.08612
2012-03-02,1160000.0
2012-03-03,1200000.0
2012-03-04,1160000.0
2012-03-05,1150000.0
2012-03-06,1010000.0
2012-03-07,756292.6438000001
2012-03-08,923546.9478
2012-03-09,1050000.0
2012-03-10,968117.85065
2012-03-11,886235.7013000001
2012-03-12,762756.9781000001
2012-03-13,968332.3893
2012-03-14,1240000.0
2012-03-15,1330000.0
2012-03-16,1210000.0
2012-03-17,1140000.0
2012-03-18,1220000.0
2012-03-19,1280000.0
2012-03-20,1270000.0
2012-03-21,858625.9710000001
2012-03-22,1110000.0
2012-03-23,1240000.0
2012-03-25,977954.8313500001
2012-03-24,1065303.2209
2012-03-26,890606.4418
2012-03-28,1325000.0
2012-03-27,1270000.0
2012-03-29,1380000.0
2012-03-30,1200000.0
2012-03-31,1140000.0
2012-04-01,1280000.0
2012-04-02,1120000.0
2012-04-03,1010000.0
2012-04-04,872683.1297
2012-04-05,906052.8134
2012-04-06,821650.932
2012-04-07,813031.2242
2012-04-08,761979.1116000001
2012-04-09,818019.0005000001
2012-04-10,794501.9832000001
2012-04-11,607864.4736
2012-04-12,464878.3197
2012-04-13,616044.9885
2012-04-14,776923.5335
2012-04-15,1130000.0
2012-04-16,818321.2165000001
2012-04-17,791675.8645
2012-04-18,563186.1045
2012-04-19,350020.7552
2012-04-20,631793.2928
2012-04-21,1250000.0
2012-04-22,903622.0683
2012-04-23,987017.9461
2012-04-24,869840.4879000001
2012-04-25,942255.5466
2012-04-26,764510.5081000001
2012-04-27,917996.7054
2012-04-28,921082.6716
2012-04-29,137834.6916
2012-04-30,952420.511
2012-05-01,1220000.0
2012-05-02,1040000.0
2012-05-03,772952.1929
2012-05-04,701816.5965
2012-05-05,535908.5088000001
2012-05-06,670622.439
2012-05-07,508178.1552
2012-05-08,610566.7447
2012-05-09,530725.4023000001
2012-05-10,641990.5297000001
2012-05-11,665896.1704000001
2012-05-12,614996.8506
2012-05-13,1140000.0
2012-05-14,846365.4944000001
2012-05-15,724978.4597
2012-05-16,973222.0385
2012-05-17,1100000.0
2012-05-18,806651.3718000001
2012-05-19,770000.0
2012-05-20,774922.4272
2012-05-21,866369.3628000001
2012-05-22,936197.3658
2012-05-23,849553.4145
2012-05-24,1020000.0
2012-05-25,781641.393
2012-05-26,918550.0116
2012-05-27,748144.5794
2012-05-28,655212.8013
2012-05-29,547466.7657
2012-05-30,695499.8429
2012-05-31,721485.2429
2012-06-01,553213.3289
2012-06-02,605130.5105000001
2012-06-03,351886.703
2012-06-04,539927.1567
2012-06-05,291053.99500000005
2012-06-06,152576.8987
2012-06-07,296913.858
2012-06-08,470578.7314000001
2012-06-09,441832.16900000005
2012-06-10,514263.5009
2012-06-11,562726.7017
2012-06-12,374817.176
2012-06-13,251781.4942
2012-06-14,391849.269
2012-06-15,145338.6869
2012-06-16,268973.8318
2012-06-17,170891.37560000003
2012-06-18,237801.6327
2012-06-19,390720.4874
2012-06-20,204301.2598
2012-06-21,102150.6299
2012-06-22,207330.48735
2012-06-23,312510.3448
2012-06-24,360509.1271
2012-06-25,476397.8582000001
2012-06-26,307233.0222
2012-06-27,371099.0592
2012-06-28,373674.373
2012-06-29,454273.1315000001
2012-06-30,289272.2667
2012-07-01,118232.6146
2012-07-02,114771.0676
2012-07-03,103401.9611
2012-07-04,124217.7288
2012-07-05,89985.35957
2012-07-06,97435.04502
2012-07-07,165193.7582
2012-07-08,128794.4172
2012-07-09,125923.5993
2012-07-10,236058.2894
2012-07-11,291581.9244
2012-07-12,164851.4739
2012-07-13,88817.23192
2012-07-14,143969.7943
2012-07-15,230803.6031
2012-07-16,290516.479
2012-07-17,266045.684
2012-07-18,177649.2916
2012-07-19,191261.4852
2012-07-20,187495.7387
2012-07-21,200787.5295
2012-07-22,206339.7405
2012-07-23,95931.91345
2012-07-24,43082.79188
2012-07-25,110020.71240000002
2012-07-26,132486.38160000002
2012-07-27,60185.35663
2012-07-28,62478.47294
2012-07-29,115942.849
2012-07-30,60010.798630000005
2012-07-31,33738.35914
2012-08-01,87018.37443000001
2012-08-02,50136.86361
2012-08-03,59622.87616
2012-08-04,162026.93310000002
2012-08-05,162225.1832
2012-08-06,127372.0168
2012-08-07,174983.0602
2012-08-08,99577.96004
2012-08-09,103870.0411
2012-08-10,99572.92306
2012-08-11,156819.1638
2012-08-12,162841.96540000002
2012-08-13,172839.0109
2012-08-14,241561.4485
2012-08-15,472955.2534000001
2012-08-16,310813.5405
2012-08-17,163619.41850000003
2012-08-18,138762.9906
2012-08-19,160227.9805
2012-08-20,87989.31933000001
2012-08-21,62707.37651
2012-08-22,291822.5796
2012-08-23,251267.9022
2012-08-24,164583.7123
2012-08-25,153137.48010000002
2012-08-26,120706.01640000002
2012-08-27,191875.5585
2012-08-28,256429.3996
2012-08-29,171369.9168
2012-08-30,105267.7991
2012-08-31,186197.2585
2012-09-01,251821.1634
2012-09-02,55668.63851
2012-09-03,38557.75965
2012-09-04,156043.44720000002
2012-09-05,252013.1505
2012-09-06,245362.5144
2012-09-07,239031.9284
2012-09-08,263900.9427
2012-09-09,154192.69720000002
2012-09-10,279341.85970000003
2012-09-11,446339.2582
2012-09-12,379726.1951
2012-09-13,229448.804
2012-09-14,210716.4107
2012-09-15,262305.8535
2012-09-16,330256.3857
2012-09-17,453841.1013
2012-09-18,427492.6293
2012-09-19,636686.1339
2012-09-20,553110.1297
2012-09-21,792676.5557
2012-09-22,811001.7134
2012-09-23,886832.3165
2012-09-24,791646.0539
2012-09-25,816307.2074000001
2012-09-26,696641.4885
2012-09-27,634162.366
2012-09-28,621252.1774
2012-09-29,415893.2776
2012-09-30,293903.9576
2012-10-01,304365.0049
2012-10-02,300253.0319
2012-10-03,460770.596
2012-10-04,691194.3695
2012-10-05,655778.5508000001
2012-10-06,893748.7067
2012-10-07,864827.5901000001
2012-10-08,877949.2394
2012-10-09,931840.4798
2012-10-10,781432.5616000001
2012-10-11,968521.0622
2012-10-12,1050000.0
2012-10-13,1340000.0
2012-10-14,1050000.0
2012-10-15,959445.3779
2012-10-16,1200000.0
2012-10-17,1260000.0
2012-10-18,1330000.0
2012-10-19,1090000.0
2012-10-20,1000000.0
2012-10-21,787712.0685
2012-10-22,1030000.0
2012-10-23,970382.6741
2012-10-24,1380000.0
2012-10-25,1050000.0
2012-10-26,1040000.0
2012-10-27,1090000.0
2012-10-28,759702.3616000001
2012-10-29,683105.6944
2012-10-30,627774.0483
2012-10-31,521871.5291
2012-11-01,384695.2511
2012-11-02,808458.5732
2012-11-03,791220.3528
2012-11-04,868174.6232000001
2012-11-05,864014.2386
2012-11-06,1030000.0
2012-11-07,1100000.0
2012-11-08,1330000.0
2012-11-09,1790000.0
2012-11-10,1400000.0
2012-11-11,1380000.0
2012-11-12,1470000.0
2012-11-13,2210000.0
2012-11-14,2120000.0
2012-11-15,2090000.0
2012-11-16,1820000.0
2012-11-17,1500000.0
2012-11-18,1450000.0
2012-11-19,1420000.0
2012-11-20,1550000.0
2012-11-22,1180000.0
2012-11-21,1280000.0
2012-11-23,1080000.0
2012-11-24,1240000.0
2012-11-25,1180000.0
2012-11-26,1250000.0
2012-11-27,1260000.0
2012-11-28,1180000.0
2012-11-29,988856.8786
2012-11-30,1140000.0
2012-12-01,1110000.0
2012-12-02,957359.6684
2012-12-03,1000000.0
2012-12-04,958646.9881
2012-12-05,931943.7122
2012-12-06,977934.8977
2012-12-07,1210000.0
2012-12-08,1170000.0
2012-12-09,1090000.0
2012-12-10,997472.4303
2012-12-11,1210000.0
2012-12-12,882286.1664999999
2012-12-13,855044.2876
2012-12-14,915784.2344
2012-12-15,774084.5278
2012-12-16,953094.8734
2012-12-17,1090000.0
2012-12-18,1030000.0
2012-12-19,797714.3109
2012-12-20,1010000.0
2012-12-21,1030000.0
2012-12-22,1080000.0
2012-12-23,917168.2341
2012-12-24,712239.8855000001
2012-12-25,714175.8031000001
2012-12-26,688009.5627000001
2012-12-27,729422.7204
2012-12-28,820598.7624
2012-12-29,857918.9305
2012-12-30,792534.3508000001
2012-12-31,983858.7438
2013-01-01,810579.4878
2013-01-02,767561.8987
2013-01-03,870212.8509
2013-01-04,799075.6077
2013-01-05,871936.6187000001
2013-01-06,800978.9693
2013-01-07,913395.2902000002
2013-01-08,1260000.0
2013-01-09,951711.0547
2013-01-10,1000000.0
2013-01-11,1060000.0
2013-01-12,1250000.0
2013-01-13,993655.2545
2013-01-14,1030000.0
2013-01-15,804423.4210000001
2013-01-16,662438.6467
2013-01-17,931025.1946
2013-01-18,1230000.0
2013-01-19,1180000.0
2013-01-20,1050000.0
2013-01-21,1140000.0
2013-01-22,1180000.0
2013-01-23,1220000.0
2013-01-24,1130000.0
2013-01-25,1110000.0
2013-01-26,821571.7025000001
2013-01-27,601542.8491999999
2013-01-28,970704.4071
2013-01-29,934136.9608
2013-01-30,747821.0387
2013-01-31,728097.3102000001
2013-02-01,544929.253
2013-02-02,987257.8391
2013-02-03,810190.0164000001
2013-02-04,685553.6369
2013-02-05,678865.2247000001
2013-02-06,883379.1614000001
2013-02-07,1300000.0
2013-02-08,1330000.0
2013-02-09,1320000.0
2013-02-10,1130000.0
2013-02-11,667283.2596
2013-02-12,983908.8714
2013-02-13,1180000.0
2013-02-14,648631.7328
2013-02-15,365152.0177
2013-02-16,445765.1142
2013-02-17,904918.1131
2013-02-18,1050000.0
2013-02-19,1350000.0
2013-02-20,1090000.0
2013-02-21,1150000.0
2013-02-22,696821.9980000001
2013-02-23,821674.2715
2013-02-24,1030000.0
2013-02-25,954130.8087
2013-02-26,767064.4369000001
2013-02-27,841645.9156
2013-02-28,1020000.0
2013-03-01,1130000.0
2013-03-02,1090000.0
2013-03-03,937532.2306
2013-03-04,1070000.0
2013-03-05,1210000.0
2013-03-06,1240000.0
2013-03-07,1570000.0
2013-03-08,1310000.0
2013-03-09,1130000.0
2013-03-10,1080000.0
2013-03-11,876616.9436000001
2013-03-12,1300000.0
2013-03-13,1090000.0
2013-03-14,823047.2198000001
2013-03-15,965698.4156
2013-03-16,1070000.0
2013-03-17,1560000.0
2013-03-18,1260000.0
2013-03-19,1000000.0
2013-03-20,945214.5702
2013-03-21,1050000.0
2013-03-22,753899.0457000001
2013-03-23,834885.5766
2013-03-24,893108.2054
2013-03-25,718936.3333
2013-03-26,490331.4274
2013-03-27,637805.8754
2013-03-28,744301.0463
2013-03-29,826437.6051
2013-03-30,897331.8298000001
2013-03-31,895189.4833000001
2013-04-01,1060000.0
2013-04-02,681405.2204
2013-04-03,1250000.0
2013-04-04,1290000.0
2013-04-05,1160000.0
2013-04-06,1280000.0
2013-04-07,1660000.0
2013-04-08,1170000.0
2013-04-09,1010000.0
2013-04-10,1170000.0
2013-04-11,1260000.0
2013-04-12,1300000.0
2013-04-13,967268.846
2013-04-14,1130000.0
2013-04-15,1130000.0
2013-04-16,1040000.0
2013-04-17,1210000.0
2013-04-18,1040000.0
2013-04-19,555154.7455000001
2013-04-20,573977.4611
2013-04-21,596169.9681
2013-04-22,871406.8729000001
2013-04-23,740989.2118
2013-04-24,639056.0900000001
2013-04-25,213435.6475
2013-04-26,572645.1463
2013-04-27,701266.0177000001
2013-04-28,737738.4524000001
2013-04-29,812681.9276
2013-04-30,1030000.0
2013-05-01,837909.2012
2013-05-02,976308.1838
2013-05-03,1090000.0
2013-05-04,909753.5119000002
2013-05-05,955549.1075
2013-05-06,851974.2253
2013-05-07,743760.7236
2013-05-08,837248.4304
2013-05-09,973828.0884
2013-05-10,857654.5981000001
2013-05-11,515980.9209
2013-05-12,615134.844
2013-05-13,844606.6159000001
2013-05-14,925871.7179
2013-05-15,541840.2015
2013-05-16,763090.2545
2013-05-17,805423.0692
2013-05-18,676436.7144
2013-05-19,910025.6082
2013-05-20,829554.5461
2013-05-21,804805.9721
2013-05-22,519911.327
2013-05-23,578563.5475
2013-05-24,420561.2551
2013-05-25,460068.99160000007
2013-05-26,381881.87990000006
2013-05-27,398398.62250000006
2013-05-28,502070.8482
2013-05-29,530606.822
2013-05-30,615657.822
2013-05-31,639309.9469
2013-06-01,356418.8472
2013-06-02,660800.2537
2013-06-03,416220.4892
2013-06-04,361122.456
2013-06-05,429995.3756
2013-06-06,138963.5629
2013-06-07,180824.3454
2013-06-08,171038.6933
2013-06-09,100992.5962
2013-06-10,118474.12180000002
2013-06-11,120629.89380000002
2013-06-12,204672.7885
2013-06-13,89543.97510000001
2013-06-14,42241.66357
2013-06-15,98525.746
2013-06-16,408609.1105
2013-06-17,295060.25240000006
2013-06-18,312225.9281
2013-06-19,358630.19700000004
2013-06-20,362817.768
2013-06-21,187799.4197
2013-06-22,104334.1789
2013-06-23,90272.97208
2013-06-24,29581.719490000003
2013-06-25,30986.640240000004
2013-06-26,80488.3031
2013-06-27,156286.5331
2013-06-28,165121.5473
2013-06-29,107335.2008
2013-06-30,74690.65957
2013-07-01,185492.29480000003
2013-07-02,61812.4
2013-07-03,204998.9157
2013-07-04,133470.7784
2013-07-05,114301.9943
