"","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","n_pixels","n_non_na_pixels","prop_non_na_pixels","ntl_sum","date"
"1","IND.1_1","IND","India","Andaman and Nicobar","Andaman & Nicobar Islands|Andama",NA,"Union Territor","Union Territory",NA,"IN.AN",NA,40747,40526,0.994576287824871,2938.46020507812,2012-01-19
"2","IND.2_1","IND","India","Andhra Pradesh",NA,NA,"State","State",NA,"IN.AP","IN-AP",784307,784221,0.999890349059743,393656.3125,2012-01-19
"3","IND.3_1","IND","India","Arunachal Pradesh","Agence de la Frontière du Nord-E",NA,"State","State",NA,"IN.AR","IN-AR",79829,79829,1,5526.77001953125,2012-01-19
"4","Z07.3_1","Z07","India","Arunachal Pradesh","Agence de la Frontière du Nord-E",NA,"State","State",NA,"IN.AR",NA,358232,358190,0.999882757542598,9531.4677734375,2012-01-19
"5","IND.4_1","IND","India","Assam",NA,NA,"State","State",NA,"IN.AS","IN-AS",413093,413089,0.99999031695042,188560.25,2012-01-19
"6","IND.5_1","IND","India","Bihar",NA,NA,"State","State",NA,"IN.BR","IN-BR",491972,491972,1,189780.4375,2012-01-19
"7","IND.6_1","IND","India","Chandigarh",NA,NA,"Union Territor","Union Territory",NA,"IN.CH","IN-CH",715,715,1,12749.59375,2012-01-19
"8","IND.7_1","IND","India","Chhattisgarh",NA,NA,"State","State",NA,"IN.CT","IN-CT",683434,683434,1,329670.0625,2012-01-19
"9","IND.8_1","IND","India","Dadra and Nagar Haveli","DAdra et Nagar Haveli|Dadra e Na",NA,"Union Territor","Union Territory",NA,"IN.DN","IN-DN",2707,2707,1,9035.375,2012-01-19
"10","IND.9_1","IND","India","Daman and Diu",NA,NA,"Union Territor","Union Territory",NA,"IN.DD",NA,517,517,1,4016.78955078125,2012-01-19
"11","IND.10_1","IND","India","Goa","Gôa",NA,"State","State",NA,"IN.GA","IN-GA",18511,18511,1,26613.685546875,2012-01-19
"12","IND.11_1","IND","India","Gujarat","Goudjerate|Gujerat|Gujerate",NA,"State","State",NA,"IN.GJ","IN-GJ",948438,943549,0.994845208648325,699597.125,2012-01-19
"13","IND.12_1","IND","India","Haryana",NA,NA,"State","State",NA,"IN.HR","IN-HR",238563,238563,1,391111.65625,2012-01-19
"14","IND.13_1","IND","India","Himachal Pradesh",NA,NA,"Union Territor","Union Territory",NA,"IN.HP","IN-HP",305442,305379,0.99979374152867,76887.0078125,2012-01-19
"15","Z04.13_1","Z04","India","Himachal Pradesh",NA,NA,"Union Territor","Union Territory",NA,"IN.HP",NA,1867,1867,1,71.1904678344727,2012-01-19
"16","Z09.13_1","Z09","India","Himachal Pradesh",NA,NA,"Union Territor","Union Territory",NA,"IN.HP",NA,667,667,1,27.2795600891113,2012-01-19
"17","Z01.14_1","Z01","India","Jammu and Kashmir",NA,NA,"State","State",NA,"IN.JK",NA,587631,587117,0.999125301422151,165045.0625,2012-01-19
"18","IND.15_1","IND","India","Jharkhand","Vananchal",NA,"State","State",NA,"IN.JH","IN-JH",411998,411998,1,235727.171875,2012-01-19
"19","IND.16_1","IND","India","Karnataka","Maisur|Mysore",NA,"State","State",NA,"IN.KA","IN-KA",931411,931407,0.999995705440455,734818.75,2012-01-19
"20","IND.17_1","IND","India","Kerala",NA,NA,"State","State",NA,"IN.KL","IN-KL",182580,182560,0.999890458976887,98904.4453125,2012-01-19
"21","IND.18_1","IND","India","Lakshadweep","Íles Laquedives|Laccadive|Minico",NA,"Union Territor","Union Territory",NA,"IN.LD","IN-LD",386,373,0.966321243523316,127.06591796875,2012-01-19
"22","IND.19_1","IND","India","Madhya Pradesh",NA,NA,"State","State",NA,"IN.MP","IN-MP",1578698,1578697,0.999999366566626,628204.6875,2012-01-19
"23","IND.20_1","IND","India","Maharashtra",NA,NA,"State","State",NA,"IN.MH","IN-MH",1530770,1530741,0.999981055285902,1031029.8125,2012-01-19
"24","IND.21_1","IND","India","Manipur",NA,NA,"State","State",NA,"IN.MN","IN-MN",115951,115951,1,3431.07495117188,2012-01-19
"25","IND.22_1","IND","India","Meghalaya",NA,NA,"State","State",NA,"IN.ML","IN-ML",118207,118207,1,22794.267578125,2012-01-19
"26","IND.23_1","IND","India","Mizoram",NA,NA,"State","State",NA,"IN.MZ","IN-MZ",109462,109462,1,3279.287109375,2012-01-19
"27","IND.24_1","IND","India","Nagaland",NA,NA,"State","State",NA,"IN.NL","IN-NL",87563,87563,1,10106.900390625,2012-01-19
"28","IND.25_1","IND","India","NCT of Delhi",NA,NA,"Union Territor","Union Territory",NA,"IN.DL",NA,8295,8295,1,242391.484375,2012-01-19
"29","IND.26_1","IND","India","Odisha",NA,NA,"State","State",NA,"IN.OR","IN-OR",781638,779223,0.996910334451498,344940.15625,2012-01-19
"30","IND.27_1","IND","India","Puducherry","Pondicherry|Puduchcheri|Pondiché",NA,"Union Territor","Union Territory",NA,"IN.PY","IN-PY",3136,3136,1,9614.2177734375,2012-01-19
"31","IND.28_1","IND","India","Punjab",NA,NA,"State","State",NA,"IN.PB","IN-PB",275246,275246,1,406058.34375,2012-01-19
"32","IND.29_1","IND","India","Rajasthan","Greater Rajasthan|Rajputana",NA,"State","State",NA,"IN.RJ","IN-RJ",1792156,1792156,1,907120.25,2012-01-19
"33","IND.30_1","IND","India","Sikkim",NA,NA,"State","State",NA,"IN.SK","IN-SK",37908,37641,0.992956631845521,8249.83984375,2012-01-19
"34","IND.31_1","IND","India","Tamil Nadu","Madras|Tamilnad",NA,"State","State",NA,"IN.TN","IN-TN",625500,625412,0.99985931254996,647359.125,2012-01-19
"35","IND.32_1","IND","India","Telangana",NA,NA,"State","State",NA,"IN.TG","IN-TG",566486,566486,1,503304.3125,2012-01-19
"36","IND.33_1","IND","India","Tripura",NA,NA,"State","State",NA,"IN.TR","IN-TR",54962,54962,1,33123.2421875,2012-01-19
"37","IND.34_1","IND","India","Uttar Pradesh","United Provinces",NA,"State","State",NA,"IN.UP","IN-UP",1268269,1268269,1,1206751.625,2012-01-19
"38","IND.35_1","IND","India","Uttarakhand","Uttarakhand",NA,"State","State",NA,"IN.UT","IN-UT",285617,284889,0.997451132110484,152595.078125,2012-01-19
"39","Z05.35_1","Z05","India","Uttarakhand","Uttarakhand",NA,"State","State",NA,"IN.UT",NA,1568,1568,1,69.9747085571289,2012-01-19
"40","Z09.35_1","Z09","India","Uttarakhand","Uttarakhand",NA,"State","State",NA,"IN.UT",NA,5589,5589,1,104.156562805176,2012-01-19
"41","IND.36_1","IND","India","West Bengal","Bangla|Bengala Occidentale|Benga",NA,"State","State",NA,"IN.WB","IN-WB",445183,445181,0.999995507465469,504715.96875,2012-01-19
"42","IND.1_1","IND","India","Andaman and Nicobar","Andaman & Nicobar Islands|Andama",NA,"Union Territor","Union Territory",NA,"IN.AN",NA,40747,40533,0.994748079613223,3089.296875,2013-01-19
"43","IND.2_1","IND","India","Andhra Pradesh",NA,NA,"State","State",NA,"IN.AP","IN-AP",784307,784198,0.999861023808279,360345.71875,2013-01-19
"44","IND.3_1","IND","India","Arunachal Pradesh","Agence de la Frontière du Nord-E",NA,"State","State",NA,"IN.AR","IN-AR",79829,79829,1,5306.03955078125,2013-01-19
"45","Z07.3_1","Z07","India","Arunachal Pradesh","Agence de la Frontière du Nord-E",NA,"State","State",NA,"IN.AR",NA,358232,358226,0.999983251077514,4984.78955078125,2013-01-19
"46","IND.4_1","IND","India","Assam",NA,NA,"State","State",NA,"IN.AS","IN-AS",413093,413093,1,179864.9375,2013-01-19
"47","IND.5_1","IND","India","Bihar",NA,NA,"State","State",NA,"IN.BR","IN-BR",491972,491972,1,174662.609375,2013-01-19
"48","IND.6_1","IND","India","Chandigarh",NA,NA,"Union Territor","Union Territory",NA,"IN.CH","IN-CH",715,715,1,12840.736328125,2013-01-19
"49","IND.7_1","IND","India","Chhattisgarh",NA,NA,"State","State",NA,"IN.CT","IN-CT",683434,683434,1,347165,2013-01-19
"50","IND.8_1","IND","India","Dadra and Nagar Haveli","DAdra et Nagar Haveli|Dadra e Na",NA,"Union Territor","Union Territory",NA,"IN.DN","IN-DN",2707,2707,1,10061.419921875,2013-01-19
"51","IND.9_1","IND","India","Daman and Diu",NA,NA,"Union Territor","Union Territory",NA,"IN.DD",NA,517,517,1,4210.22314453125,2013-01-19
"52","IND.10_1","IND","India","Goa","Gôa",NA,"State","State",NA,"IN.GA","IN-GA",18511,18511,1,28172.673828125,2013-01-19
"53","IND.11_1","IND","India","Gujarat","Goudjerate|Gujerat|Gujerate",NA,"State","State",NA,"IN.GJ","IN-GJ",948438,943669,0.994971732469597,647683.0625,2013-01-19
"54","IND.12_1","IND","India","Haryana",NA,NA,"State","State",NA,"IN.HR","IN-HR",238563,238563,1,469774.6875,2013-01-19
"55","IND.13_1","IND","India","Himachal Pradesh",NA,NA,"Union Territor","Union Territory",NA,"IN.HP","IN-HP",305442,305401,0.999865768296436,54618.92578125,2013-01-19
"56","Z04.13_1","Z04","India","Himachal Pradesh",NA,NA,"Union Territor","Union Territory",NA,"IN.HP",NA,1867,1864,0.998393144081414,44.6405029296875,2013-01-19
"57","Z09.13_1","Z09","India","Himachal Pradesh",NA,NA,"Union Territor","Union Territory",NA,"IN.HP",NA,667,667,1,0.5,2013-01-19
"58","Z01.14_1","Z01","India","Jammu and Kashmir",NA,NA,"State","State",NA,"IN.JK",NA,587631,586398,0.997901744462086,149139.71875,2013-01-19
"59","IND.15_1","IND","India","Jharkhand","Vananchal",NA,"State","State",NA,"IN.JH","IN-JH",411998,411998,1,253549.15625,2013-01-19
"60","IND.16_1","IND","India","Karnataka","Maisur|Mysore",NA,"State","State",NA,"IN.KA","IN-KA",931411,931408,0.999996779080342,674227.5,2013-01-19
"61","IND.17_1","IND","India","Kerala",NA,NA,"State","State",NA,"IN.KL","IN-KL",182580,182561,0.999895936028042,95517.6328125,2013-01-19
"62","IND.18_1","IND","India","Lakshadweep","Íles Laquedives|Laccadive|Minico",NA,"Union Territor","Union Territory",NA,"IN.LD","IN-LD",386,363,0.940414507772021,119.804542541504,2013-01-19
"63","IND.19_1","IND","India","Madhya Pradesh",NA,NA,"State","State",NA,"IN.MP","IN-MP",1578698,1578698,1,677453.5625,2013-01-19
"64","IND.20_1","IND","India","Maharashtra",NA,NA,"State","State",NA,"IN.MH","IN-MH",1530770,1530749,0.999986281413929,940457.6875,2013-01-19
"65","IND.21_1","IND","India","Manipur",NA,NA,"State","State",NA,"IN.MN","IN-MN",115951,115951,1,4960.50244140625,2013-01-19
"66","IND.22_1","IND","India","Meghalaya",NA,NA,"State","State",NA,"IN.ML","IN-ML",118207,118207,1,24004.95703125,2013-01-19
"67","IND.23_1","IND","India","Mizoram",NA,NA,"State","State",NA,"IN.MZ","IN-MZ",109462,109462,1,3377.11547851562,2013-01-19
"68","IND.24_1","IND","India","Nagaland",NA,NA,"State","State",NA,"IN.NL","IN-NL",87563,87563,1,9940.908203125,2013-01-19
"69","IND.25_1","IND","India","NCT of Delhi",NA,NA,"Union Territor","Union Territory",NA,"IN.DL",NA,8295,8295,1,252822.796875,2013-01-19
"70","IND.26_1","IND","India","Odisha",NA,NA,"State","State",NA,"IN.OR","IN-OR",781638,779283,0.996987096328479,348911.3125,2013-01-19
"71","IND.27_1","IND","India","Puducherry","Pondicherry|Puduchcheri|Pondiché",NA,"Union Territor","Union Territory",NA,"IN.PY","IN-PY",3136,3136,1,9968.22265625,2013-01-19
"72","IND.28_1","IND","India","Punjab",NA,NA,"State","State",NA,"IN.PB","IN-PB",275246,275246,1,434336.4375,2013-01-19
"73","IND.29_1","IND","India","Rajasthan","Greater Rajasthan|Rajputana",NA,"State","State",NA,"IN.RJ","IN-RJ",1792156,1792156,1,889638.9375,2013-01-19
"74","IND.30_1","IND","India","Sikkim",NA,NA,"State","State",NA,"IN.SK","IN-SK",37908,37590,0.991611269389047,7222.91943359375,2013-01-19
